task_id,tier,category,model,run_index,success,n_steps,invalid_rate,tokens_used,halt_reason,wall_seconds,judge_score,judge_rationale
t1a_read_value,1,retrieval,claude-cli:claude-sonnet-4-6,0,True,2,0.0,839,done,12.04,,
t1a_read_value,1,retrieval,claude-cli:claude-sonnet-4-6,1,True,2,0.0,851,done,13.31,,
t1a_read_value,1,retrieval,claude-cli:claude-sonnet-4-6,2,True,2,0.0,835,done,11.31,,
t1b_count_logs,1,retrieval,claude-cli:claude-sonnet-4-6,0,True,2,0.0,856,done,17.17,,
t1b_count_logs,1,retrieval,claude-cli:claude-sonnet-4-6,1,True,2,0.0,861,done,12.31,,
t1b_count_logs,1,retrieval,claude-cli:claude-sonnet-4-6,2,True,2,0.0,842,done,13.03,,
t2a_csv_mean,2,data,claude-cli:claude-sonnet-4-6,0,True,2,0.0,886,done,14.95,,
t2a_csv_mean,2,data,claude-cli:claude-sonnet-4-6,1,True,2,0.0,879,done,14.49,,
t2a_csv_mean,2,data,claude-cli:claude-sonnet-4-6,2,True,2,0.0,876,done,11.8,,
t2b_sort_lines,2,data,claude-cli:claude-sonnet-4-6,0,True,2,0.0,899,done,13.1,,
t2b_sort_lines,2,data,claude-cli:claude-sonnet-4-6,1,True,2,0.0,910,done,15.82,,
t2b_sort_lines,2,data,claude-cli:claude-sonnet-4-6,2,True,2,0.0,901,done,12.23,,
t2c_transform,2,data,claude-cli:claude-sonnet-4-6,0,True,2,0.0,835,done,12.47,,
t2c_transform,2,data,claude-cli:claude-sonnet-4-6,1,True,2,0.0,843,done,10.68,,
t2c_transform,2,data,claude-cli:claude-sonnet-4-6,2,True,2,0.0,820,done,11.28,,
t3a_error_counts,3,agentic,claude-cli:claude-sonnet-4-6,0,False,12,0.0,8022,max_steps,159.35,,
t3a_error_counts,3,agentic,claude-cli:claude-sonnet-4-6,1,False,12,0.0,7940,max_steps,221.27,,
t3a_error_counts,3,agentic,claude-cli:claude-sonnet-4-6,2,False,7,0.0,3857,done,52.16,,
t3b_sum_files,3,agentic,claude-cli:claude-sonnet-4-6,0,True,7,0.0,2886,done,37.19,,
t3b_sum_files,3,agentic,claude-cli:claude-sonnet-4-6,1,True,7,0.0,2944,done,30.66,,
t3b_sum_files,3,agentic,claude-cli:claude-sonnet-4-6,2,True,7,0.0,2911,done,33.21,,
t4a_recover_fallback,4,agentic,claude-cli:claude-sonnet-4-6,0,True,3,0.0,1328,done,13.4,,
t4a_recover_fallback,4,agentic,claude-cli:claude-sonnet-4-6,1,True,3,0.0,1306,done,13.66,,
t4a_recover_fallback,4,agentic,claude-cli:claude-sonnet-4-6,2,True,3,0.0,1319,done,18.06,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-sonnet-4-6,0,True,2,0.0,995,done,12.5,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-sonnet-4-6,1,True,2,0.0,992,done,13.42,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-sonnet-4-6,2,True,2,0.0,957,done,12.6,,
